  14   2 8.23+06 1.12-01 1.12-01 1.12-01 1.16-01 1.22-01 1.30-01 1.43-01 1.71-01 1.98-01 2.24-01 2.51-01 2.64-01 2.71-01 2.79-01
  15   2 8.29+06 1.58-01 1.57-01 1.57-01 1.62-01 1.72-01 1.83-01 2.02-01 2.41-01 2.78-01 3.15-01 3.54-01 3.72-01 3.83-01 3.93-01
  16   2 5.65+04 6.51-02 5.79-02 5.46-02 5.46-02 5.17-02 4.45-02 3.52-02 2.29-02 1.53-02 9.91-03 5.63-03 3.92-03 2.98-03 1.91-03
  17   2 6.05+06 2.35-02 1.96-02 1.94-02 2.11-02 2.08-02 1.75-02 1.32-02 8.02-03 5.04-03 2.98-03 1.40-03 7.95-04 4.75-04-1.97-05
  18   2 1.00-30 1.03-01 7.69-02 6.11-02 5.05-02 4.21-02 3.91-02 3.84-02 3.95-02 4.12-02 4.29-02 4.48-02 4.58-02 4.65-02 4.75-02
  19   2 2.16+10 1.67-02 1.20-02 1.01-02 8.84-03 7.76-03 7.51-03 7.96-03 9.99-03 1.28-02 1.68-02 2.34-02 2.93-02 3.57-02-1.07-02
  20   2 2.16+10 5.26-02 3.71-02 3.07-02 2.68-02 2.34-02 2.26-02 2.39-02 3.00-02 3.84-02 5.03-02 7.04-02 8.81-02 1.07-01-3.20-02
  21   2 2.16+10 7.86-02 5.76-02 4.90-02 4.36-02 3.86-02 3.74-02 3.97-02 4.99-02 6.40-02 8.38-02 1.17-01 1.47-01 1.79-01-5.33-02
  22   2 1.00-30 1.79-02 1.02-02 7.27-03 5.41-03 3.51-03 2.45-03 1.69-03 9.87-04 6.21-04 3.69-04 1.72-04 9.25-05 4.84-05 0.00+00
  23   2 1.11+06 1.76-02 1.61-02 1.61-02 1.60-02 1.56-02 1.56-02 1.62-02 1.79-02 1.97-02 2.14-02 2.33-02 2.42-02 2.47-02 2.54-02
  24   2 1.11+06 3.00-02 2.71-02 2.69-02 2.68-02 2.60-02 2.60-02 2.70-02 2.98-02 3.26-02 3.56-02 3.87-02 4.02-02 4.11-02 4.21-02
  25   2 1.11+06 4.12-02 3.76-02 3.76-02 3.75-02 3.65-02 3.65-02 3.79-02 4.19-02 4.59-02 5.00-02 5.44-02 5.66-02 5.78-02 5.92-02
  26   2 8.82+02 1.95-02 1.60-02 1.51-02 1.40-02 1.21-02 1.09-02 1.03-02 1.01-02 1.03-02 1.05-02 1.08-02 1.10-02 1.11-02 1.13-02
  27   2 5.83+02 2.59-02 2.13-02 2.01-02 1.87-02 1.56-02 1.34-02 1.19-02 1.07-02 1.04-02 1.02-02 1.03-02 1.03-02 1.04-02 1.05-02
  28   2 8.82+02 3.52-02 2.89-02 2.71-02 2.53-02 2.18-02 1.97-02 1.85-02 1.82-02 1.85-02 1.90-02 1.95-02 1.98-02 2.00-02 2.04-02
  29   2 2.99+02 2.46-02 2.03-02 1.92-02 1.77-02 1.42-02 1.16-02 9.50-03 7.48-03 6.52-03 5.95-03 5.57-03 5.45-03 5.40-03 5.38-03
  30   2 4.80+03 2.60-02 2.27-02 2.19-02 2.05-02 1.72-02 1.42-02 1.11-02 7.14-03 4.69-03 2.90-03 1.46-03 8.74-04 5.50-04 1.80-04
  31   2 2.95+06 1.20-02 1.11-02 1.09-02 1.03-02 8.37-03 6.70-03 5.06-03 3.11-03 1.97-03 1.17-03 5.48-04 3.07-04 1.79-04-4.31-06
